,original,clase,clase_text
2533,  día afirmé  obviedad    altos tribunales   país  haciéndole oposición  gobierno     pp   mantiene secuestrado   judicial  pide explicaciones      preguntaran   señora ayuso      ,13,justicia
2542, leyes   políticas públicas  llegar    mujeres      llegado       cursos  verano      ,4,igualtat i feminismes
2554, conscientes   ley  mejorarse  especialmente    garantiza   víctimas   acceso real  efectivo   justicia     modifica  ley  amnistía ,13,justicia
2561, comienza  presentación      valencia    mano          acompañan   lima coordinadora      coordinadora      ,0,presidencia
2579, teoria política antiracista    robert knox  asad haider  norman ajari  ainhoa nadia reflexionen  ascens  racisme global   potencialitat   lluita antiracista   motor  transformació  escolacup     dissabte 4  12 30h  14 30h     ,15,immigracio
2580, cultura  conflicte   representació cultural   classe obrera      david becerra  belén gopegui   diumenge 5  12h  14h  escolacup     ,0,presidencia
2588, festes major  salut mental col lectiva  poble  carrer  ésfestamajor     escriu  elogi   festes majors    cat      ,9,salut
2590, governem  anys  apostem   renovables  renovablessí  planificant    coherent   ,8,accio climatica alimentacio i agenda rural
2591,  consell  ministres dóna llum verda     llei  reforma   pensions    sortir  esborrany    mesos  fer  fil explicant      canvis     direcció contrària  repartir  treballs   riquesa   ,11,drets socials
2593, maig  2017  bisbe novell manifestava    fenomen creixent   confusió  orientació sexual   nois adolescents   deguda     cultura occidental  figura  pare  simbòlicament absent  desviada  difuminada     ,2,empresa i treball
2600,  suport   treballadores  treballadors  112   comencen  vaga indefinida   internalització  servei essencial   conveni propi   ,2,empresa i treball
2602, comença  vaga indefinida   112      imposa serveis mínims  85   servei essencial     essencials    exigim  internalització    suport   vaga     gestió directa  112   112publicja  112enlluita  ,2,empresa i treball
2606, dades   trasllat  criteris   informació   canvi  potenciar atenció primària   mesures restrictives  improvisació     pot jugar    salut     vida   gent   ,4,igualtat i feminismes
2607,   treballadores   112 inicien vaga indefinida    suport     condicions laborals  qualitat      gestió pública  112   fer negocis   serveis públics   ,2,empresa i treball
2615,asad haider  stuart hall    haider     escolacup  4  septiembre   semana  barcelona  iruñea  madrid  debatir  identidades  raza  clase   libro       hall  ,12,cultura
2619, 11s  pactes  renúncies  lluita   camí      nipactesnirenúncies  ,0,presidencia
2622, ánimo  fuerza   personas musulmanas   días  enfrentan  plus  odio agitado   ultraderecha  raíz   situación   afganistan        miedo  rabia ,12,cultura
2632,augment previst  17 milions  passatgers significaria  augment  33    emissions  diòxid  carboni      situació      reduir  any  emissions  co2  7 5   nivell global   onu      ,8,accio climatica alimentacio i agenda rural
2636,   sortit  armari  reconeixen obertament    sabíem    crossa  calia  apuntalar  règim     constitución   llegat  franquisme ideat   qüestionar  privilegis   elits   serveix  estripar   cremar    ,2,empresa i treball
2638, debò   parlar  plena crisi climàtica    context mediterrani   jocs olímpics hivern   ,8,accio climatica alimentacio i agenda rural
2640,carles riera   govern camina   sentit contrari  acordat  ,9,salut
2641,augment previst  17 milions  passatgers significaria  augment  33    emissions  diòxid  carboni      situació      reduir  any  emissions  co2  7 5   nivell global   onu       ,8,accio climatica alimentacio i agenda rural
2647,   avisa  ampliació  prat   jjoo hivern   obstacle  aprovar  pressupost  govern  ,9,salut
2649,  transició energètica  pot servir  seguir alimentant monstres  ampliació  aeroport   parlar  plena crisi climàtica    context mediterrani   jocs olímpics hivern   barbaritats           ,8,accio climatica alimentacio i agenda rural
2652,  cup  camp  terres  ebre  oposem   línia   alta tensió  mat   creua   territori     rebutgem  model  perpetua   generació energia   mans      continua trinxant  territori      ,0,presidencia
2654,   comença entrevista  diputat              directe       ,0,presidencia
2658,    calor   feina  treballadores  drets      elevades temperatures  lloc  feina  incompliment sistemàtic   legislació  matèria  seguretat laboral  suposen  perill   treballadors      sindicarseésdefensarse  ,9,salut
2662, ampliació  prat   crisi climàtica  vivim          parla    article opinió    cat      ,1,vicepresidencia i politiques digitals i territori
2664, passat juliol   112 vots  favor  20     aprovar  moció     impulsar  energètica pública    evident   urgent       millor    posi  caminar    ,8,accio climatica alimentacio i agenda rural
2669,    context   crisiclimàtica  pot plantejar ampliació  aeroport  prat         19  setembre   carrer  clima   salut   vida    menysavionsmésvida  ,1,vicepresidencia i politiques digitals i territori
2674,prevenir  incendis   lluitar   clara  emergència climàtica reduint  emissions   passa   ampliar aeroport   rescatar  fórmula 1       reflexió profunda  govern   ,8,accio climatica alimentacio i agenda rural
2676,  aposta   cup  abastiment elèctric via     ,2,empresa i treball
2680,jocs olímpics hivern  ampliació  aeroport  prat  circuit  catalunya     versus llei catalana  canvi climàtic   noampliacióaeroport  ,1,vicepresidencia i politiques digitals i territori
2682, 11s  pactes  renúncies  lluita   camí     nipactesnirenúncies     convocatòries  ,0,presidencia
2684,100 milions euros ajudes públiques  circuit  catalunya   2006   2017    ,3,economia i hisenda
2687, preu   llum  estiu registra  3 preus  alts    història      curtcircuitemlos    sectors estratègics    públics   llum    luxe    nacionalitzem  ,2,empresa i treball
2688, segueixen obertes  inscripcions   v escola estiu   cup  escolacup    4  5  setembre  granollers  consulta   programació     ,9,salut
2691,      màxim històric   preu   llum   important  creació  empresa energètica pública    disposi  comercialitzadora   donar  cobertura   servei democratitzat    interessos econòmics   ,8,accio climatica alimentacio i agenda rural
2692,carai   transformació social  verda  feminista  democràtica     jocs olímpics hivern  ampliació  aeroport  prat    rescat   fòrmula 1  existeixen irregularitats   gestió  circuits  catalunya   ,8,accio climatica alimentacio i agenda rural
2697, plataforma  ampliació  aeroport  palma  juntament   plataforma  bonet pulmó verd  manifesten   suport   mobilitzacions  ampliació  aeroport  prat     ,8,accio climatica alimentacio i agenda rural
2711,  suposa ampliació  aeroport  prat  despropòsit ambiental  model econòmic precari      3a pista   menysavionsmésvida  noampliacioaeroportelprat  19s   1 2  ,8,accio climatica alimentacio i agenda rural
2717, directapaper    investigació destapa   seixantena  correus falsos  captar informació     ip detectades   trama    mossos   ctti         g fabrega,2,empresa i treball
2718,  rebuig  ecologistes  ampliació  prat    gravíssima irresponsabilitat  menysavionsmésvida  ,0,presidencia
2731,   cup demana  compareixença aragonès  puigneró  ampliació  aeroport  prat  menysavionsmésvida  ,1,vicepresidencia i politiques digitals i territori
2737,  gravetat  acord  ampliació  aeroport  prat  demanat  compareixença  president   vicepresident    transparència   conèixer  detalls  circumstàncies   reunió   govern espanyol    motivacions  condicions  acord   ,1,vicepresidencia i politiques digitals i territori
2742,   aeroport  prat   línia vermella     avisa  govern  ,0,presidencia
2744,mireia vehí  ampliació  prat   línia vermella   noampliacioaeroport    veca      ,0,presidencia
2746,    veca  diputada         aeroport  prat   línia vermella  ,0,presidencia
2747,  rebutgem acord     generalitat  ampliació  aeroport  prat    atemptat ecològic  climàtic   respecta  territori   incompatible   reducció emissions  segueix aprofundint   model insostenible  precari   ,8,accio climatica alimentacio i agenda rural
2748,       arribaven  acord  perpetrar  atemptat climàtic  social  ampliació  aeroport  prat    acord cec  sord  impactes ambientals   organització social    veiem  19  setembre  peu  lluita   menysavionsmésvida     ,1,vicepresidencia i politiques digitals i territori
2749,    pensa  portaveu      eulàlia reguant       ampliació  aeroport         ampliació      canvi  model   debat     model industrial  productiu  volem   país  ,8,accio climatica alimentacio i agenda rural
2751, mediambient   generalitat   pacten ampliació   aeroport  prat  allargament    pista contradiu  exigències   comissió europea   acords   canvi climàtic        g fabrega  directa527   ,1,vicepresidencia i politiques digitals i territori
2753,        atemptat ecològic  climàtic  acord   ampliació  prat   ,9,salut
2757, treballadores  treballadors dl  112 comencen  vaga indefinida   dep  d treball  imposa serveis mínims  85  pq   servei essencial     motiu  imprescindible   internalització    suport   vaga    gestió directa  112   ,2,empresa i treball
2765, bilateral generalitat     fracàs    contents       torna  madrid   acord insostenible   atemptat climàtic   ampliació  aeroport  prat ,1,vicepresidencia i politiques digitals i territori
2766, juliol     aprovar  moció      creació  energètica pública       acords  pacte  mínims  erc     fet  petit    ,2,empresa i treball
2770,agència  protecció  dades obre investigació  mossos    denúncia   presentar     gravar manifestacions  autorització    aturar  seguiment  monitorització   dissidència     ,0,presidencia
2771,30  juliol  1749    batuda   persecució autoritzada  rei espanya  organitzada  marquès  ensenada  objectiu  arrestar   extingir   ètnia rom  regne  24 09 2018  gràcies   feina   8 s esborra  nom  genocida  lleida  ,15,immigracio
2775,  tribunal  cuentas   òrgan  nom  tribunal        membres   caducats    rancietat    noció espanya   democràcia    dret     eulàlia reguant      ,3,economia i hisenda
2776, llei internalització  transport sanitari  proposem permetrà     prestar  servei  major qualitat    fiscalitzar correctament    parar  diners públics    equiparar  millorar  condicions laborals    seguretat      personal    ,2,empresa i treball
2777,   cup ncg envia  carta  govern rebutjant  invitació   reunió prèvia   comissió bilateral generalitat      rebutgem formar part  espai    convidem  govern  replantejar   posició   forma  participar   ,10,interior
2778, absència  mesures  afegides   persistència  polítiques prèvies neoliberals   suposat retallades constants   pressupost assignat  atenció primària    s  aplicant   país   2008    deixat ap  marge  maniobra        ,10,interior
2783,   atenció      convoquem       10h        comissaria   corts    lt m gt  l3  corts   l5 entença   mostrar  solidaritat   companyes detingudes           sindicat habitatge  cassoles       noensfaranfora   capmésdesnonament  ,6,educacio
2791, juliol  2019     aprovar  proposta      iniciar  2020  tràmits  redacció   especial  protecció  medi natural   paisatge  parc natural  alt pirineu        fer   ,8,accio climatica alimentacio i agenda rural
2793, departament abandona  jovent  promou  creixement  negoci privat   postobligatòria   desembarcant grans grups inversors internacionals veient oportunitat d negoci   generació filla  baby boom   oferta pública  formació postobligatòria ,2,empresa i treball
2794, reserva  places   fp superior   alumnat  batxillerat impossibilita   acaben  grau mitjà  fp continuar   itinerari  manca  places     aconsegueixen   pagar matrícules    400     impossible ,2,empresa i treball
2802, s adopten mesures   patronats hospitals  promouen objeccions  consciència col lectives   avançarem   garantia  dret   avortament  afortunadament   s  aprovat acabar   concerts   vulnera   drets sexuals  reproductius   ,9,salut
2804,bon dia          llegiu  tuit  informar millor      aprovar  congreso  relació   interines  interins   ,0,presidencia
2811,finalment      decidit fer cas   propi decret llei  avalar  icf  fiances  tribunal  cuentas   podíem  estalviat  hores   ridícules  gràcies   q    lloc  reclamat q  govern assumís   responsabilitat     ,13,justicia
2815,  papers   significarà    intempèrie  sant cugat     important   garantia  drets   santcugatciutatdedrets  ,11,drets socials
2823,  suport      exigim absolució   encausades    judici   lluita estudiantil    fiscalia   mossos  tribunals podran   moviment estudiantil organitzat  combatiu     ,0,presidencia
2824,exdiputada      exiliada política  anna gabriel  participa  acte  60è aniversari    s  celebrant  elna    catalunya  nord  països catalans  òmnium60  amnistia    fotografia      ,12,cultura
2829, campanya desmilitaritzem educació denuncia incompliment   moció 55 xi   desmilitarització  catalunya  anys     aprovació  implementeumocio55xi  ,6,educacio
2831, organitzacions socials  drets humans  catalunya demanem urgentment  auditoria  aplicació   circular  regula  règim tancat   presons catalanes   vista   producció  violències  morts  suïcidis     directa    ,11,drets socials
2836, reunió necessària  compartir punts  vista   lluita  exili    qüestions estratègia independentista     llarga  agradable estona  gràcies president     bona acollida   ,0,presidencia
2837,   trobada cordial  constructiva   president  exili  compartint anàlisis   política nacional  internacional     voluntat  promoure lluites compartides   assolir autodeterminació  amnistia   independència   ,0,presidencia
2851,comencem  can trinxet   sant quirze  besora  enllaçant   reivindicació   treball   poble  continuem   vall fosca    anys     endesa   continuem   conca  garona    val aran   ,12,cultura
2866,   recurs presentat   generalitat  catalunya   rebaixa  petició  presó  4 anys  9 mesos  6 mesos  company marcel vivet  obrim fil    ,13,justicia
2867,    llum   dret  nacionalitzem     subministraments bàsics  electricitat     mans privades   pujades   llum     concentracions   dijous 8  juliol    vendrell   vilanova   geltrú   curtcircuitemlos    ,2,empresa i treball
2872,  objectiu  zeropèrduesbequesdoctorat   calendari unificat  condicions  renúncia racional     restrictiu  llistes  reserva  increment extra equivalent renúncies  següent convocatòria  doctorandes   centre  sistema   recerca     cuidem  potenciem    ,9,salut
2877, abraçada    família  convençuda   faran callar        feixisme   necropolítica   ,13,justicia
2878,  suport   convocatòries  xustizaparasamuel  justiciaperasamuel   justícia  memòria    persones  pateixen   patit homofòbia   feixisme   ,4,igualtat i feminismes
2882, internacional    delegació catalana   colòmbia troba  règim autoritari encobert  democràcia   parlamentàries  institucions  organitzacions exigiran mesures  embargament   venda armes      ,5,accio exterior i govern obert
2894,  delegaciocatalunyacolombia  iniciat   activitat  cali  conèixer  context regional   marc   paronacional   mà organitzacions   ddhh  componen  missió  verificació  acompanyament  punts  concentració  cali  ,5,accio exterior i govern obert
2902,  referèndum    independència    camí   fàcil   ràpid   passarà    diàlegs buits  gobiernos   esquerres  progressistes  espanyolistes  sr  sanchez   3 5 parts  cinisme   3 4  reforma   2 3 estatut 2 0  colen   ,4,igualtat i feminismes
2905,  estudiants   compromís fèiem   passa   posar   taula 5 línies vermelles  començar  sortir   crisi educativa permanent ,6,educacio
2919,mobile world congress     diners públics   beneficis privats      precarització    model  ciutat elitista   sortida continuista   crisi   entrega  turisme salvador   fetitxisme tecnològic   tecnologia   vigilància     indústria extractiva    plantemcaramwc    ,0,presidencia
2925,    vida     usuàries  treballadores d atenció primària defensem  sistema sanitari d gestió  provisió  titularitat públiques   sistema primarista q garanteixi  25   pressupost pels equips ap  asseguri  gestió   agendes  especialistes   ,9,salut
2927,don t be fooled  even if the spanish government grants pardons to the catalan political prisoners the human rights violations persist  marcel vivet condemned to 5 years prison  the basis of  statement from  single police officer  there are around 3 300 in similar situations   ,15,immigracio
2929,     perpinyà     feixistes  països catalans    dissabte 3  juliol   12h   plaça catalunya  perpinyà    manifestació    congrés nacional  rassemblement national  ,4,igualtat i feminismes
2930,   desnonament il legal  c cera 11     raval   mare   fills pot  desnonada   brimo  ,11,drets socials
2932,defensant  dret  habitatge      dret  habitatge   dret   protesta   organització popular    resistència   lluita pels drets     matí   ciutat   justícia fent costat    assetjat judicialment  perquèhemguanyat  ,11,drets socials
2938,   llevan  hedonismo   política     divertido   españa    años  conviene disfrutar  escondidas    acaso     caso  alejandro fernández  líder  pp catalán   entrevista        ,0,presidencia
2939, 3 2 1   escucharemos   talibanes tratan   mujeres    occidentales compramos zapatillas fabricadas  asia   ,4,igualtat i feminismes
2945,  realmente grave    albañil  suelte  piropo   señora   andamio     ,4,igualtat i feminismes
2949, 3 años  partidos separatistas aseguraron   referéndum       1 0   quedaba implementarlo          tratan   partidarios   niños      independentista   cabreado ,0,presidencia
2952,    recuerda   partido popular  puesto soluciones    mesa  abaratar  recibo   luz   20    sánchez   rechazado   ,3,economia i hisenda
2962,sánchez   vacaciones     comparecido   crisis  afganistán   pobreza energética golpea  millones  españoles  marlaska   asumir responsabilidades   crisis migratoria  ceuta   sánchez  comparecer   congreso   diputados   ,0,presidencia
2964,   factura   luz  cara   historia        haz  pase    ,3,economia i hisenda
2973,    17agosto    cumplen 4 años   atentados yihadistas  barcelona  cambrils   portavoz          vicesecretarios  ppc        presidente    bcn     rinden homenaje   víctimas   ,13,justicia
2975,  ofrenda floral  memoria   atentados yihadistas   rambla  barcelona       ,10,interior
2976, años   atentados   barcelona   cambrils   recuerdo  homenaje   16 víctimas      150 heridos    familiares  amigos    intolerantes frente    quieren sembrar  terror  cambiarnos  sociedad     17a  17agosto  ,10,interior
2977,  años   terror   rabia   dolor inundaron  calles  barcelona  cambrils      17a  recordamos    víctimas   terribles atentados    familias      memoria    foto     ,10,interior
2978,    17agosto    cumplen 4 años   atentados yihadistas  barcelona  cambrils  reiteramos  compromiso   unidad   fuerzas democráticas   lucha  civilización  barbarie    exigencia  justicia  dignidad  memoria   víctimas     ,13,justicia
2979,    cumplen 4 años    terroristas yihadistas atentaron  barcelona  cambrils  recordemos        víctimas  terrorismo         memoria  dignidad  justicia  in memoriam  17a  barcelona  ,13,justicia
2980,    cumplen 4 años   atentados terroristas  barcelona  cambrils   sociedad debemos seguir trabajando  defender  libertad frente   q pretenden sembrar  terror   sentido homenaje  recuerdo   víctimas    afecto   familiares  17a  ,10,interior
2981, aniversario   atentados islamistas  barcelona coincide   retorno talibán  impulsó  terrorismo  recordamos   víctimas  yihadismo      vida combatiéndolo   afganas  sufren  infierno   precio   libertad   eterna vigilancia,10,interior
2984,  apoyo   equipos  emergencias  luchan   fuego   días  ola  calor  sequía     grave riesgo  incendios pedimos máxima precaución  responsabilidad  proteger  entorno natural    jugamos demasiado   ,10,interior
2985,  pregonero sedicioso jordi cuixart   heteropatriarcado    plenitud  oye              repesca   queda  plaza   escuela   masculinidad positiva    amiga      ,9,salut
2986, ada colau  concejal  pp   cataluña interior   kleenex suficientes   planeta   lágrima     orgulloso   compañeros  partido  orgulloso   valentía  firmeza     ,0,presidencia
2990,síntomas   progresiva peronización  españa  1  destrucción   mecanismos meritocráticos   educación  2    noche   mañana  servicios públicos pasan    lujo  corralito   precio   luz   3  dependencia   ,3,economia i hisenda
2999,nuevamente  cobarde   amedrentarnos   apoyo  concejal    d sant sadurní    cuyo despacho profesional   atacado        callarnos   q damos  cara  cataluña  defendemos  libertad   populares  barcelona  ,0,presidencia
3002,europa    razón  partido popular   gobierno  alternativas  bajar  precio   electricidad    sánchez   herramientas    españoles  soporten  drásticas subidas   factura   luz       espera   ,0,presidencia
3009,afortunadamente   humanidad   einstein   isaac newton   obligó  introducir  perspectiva  género  alumbraron  teorías   ,4,igualtat i feminismes
3026,   aitona    segrià  donem suport  sector   fruita dolça   comarques  lleida     lleidaimplicada   ,3,economia i hisenda
3029, increíble  parezca   muchísimos  separatistas  aceptan  decadencia económica  cataluña    precio  pagar   independencia  incapaz  entender semejante mecanismo psicológico suicida ,3,economia i hisenda
3046,   selección española   arrasó  audiencia  cataluña   eurocopa   tv3 omitía  españa  informativos          datos  engañan  vencen  mantras nacionalistas  tv3    líder  audiencia   eurocopa     cataluña real   ,12,cultura
3048,europa entera  facha  represora  demofóbica      ,5,accio exterior i govern obert
3055, govern   alternatiu    psc  abstiene   votación  fondo público  avalar  fianzas   procés    ,4,igualtat i feminismes
3068, reus     tarragona  solicita  adif  cesión   terrenos   avinguda  comerç  mejorar   zona   ,0,presidencia
3075,   gasto   historia  propaganda    sinfín  asesores hacinados   moncloa  evitando  cambio  ciclo               ,4,igualtat i feminismes
3079, ada caradura  cuba   dictadura   patriayvida  ,0,presidencia
3096, taldíacomohoy arrancaban  juegos olímpicos  barcelona 92        barcelona olímpica corrían  hijos  jordi pujol  joaquim forn  david madí  jordi sánchez   nacionalistas            ,0,presidencia
3101, mañana   carpa   distrito  sants montjuïc escuchando  propuestas   vecinos     barcelona quieren     escuchando  sugerencias  mejorar  barrios   distrito  ,0,presidencia
3104, matí   president     secretari general     s  reunit   companys  santa cristina aro  establir  full  ruta  cara  pròxims mesos   seguim treballant  preparar  partit    eleccions municipals        creiemengirona  ,2,empresa i treball
3105, matí   president     secretari general     s  reunit   companys  sant feliu  guíxols  establir  full  ruta  cara  pròxims mesos  seguim treballant  preparar  partit    eleccions municipals        creiemengirona  ,2,empresa i treball
3110,   llamas plus    intereses   gobierno  sánchez   recibes    euro  ayudas   ,11,drets socials
3112,      momentos  difíciles   ue  demostrado   historia  éxito  capaz    hitos históricos  vacunación  certificado  fondos  recuperación       necesitamos  europa      portavoz       ,9,salut
3117,  corleone   atrevido  semejante chantaje      ,13,justicia
3128, gobierno   generalitat   aena pague  ampliación  aeropuerto   prat    regale  gestión      gestionar ayudas   autónomos  pretenden gestionar  aeropuerto internacional   ,11,drets socials
3132,  13 15h participaré   tertulia    ciutat     cat  hablar   actualidad   barcelona  síguelo    93 5fm         ,12,cultura
3152,  hijos    protagonizaron  guerra fratricida optaron   reconciliación   obra   transición    ley  presenta  dilema   nietos     españas   reconciliación      involución    eugenio nasarre   ,13,justicia
3155, jordi cuixart salga  ayuda  ada colau   abucheada    mínimo  perpetuar estereotipos heteropatriarcales      ,4,igualtat i feminismes
3166,    menuda tontería llevaban   jóvenes    retrata   bertolucci  soñadores    ,10,interior
3168,     sinceramente  importa   morrissey  animalista    temas    extrema derecha       genio     the clash     extrema izquierda ,13,justicia
3174, cuánta incompetencia   día  día   precio   luz bate récords     gobierno    atacando           precio   luz batirá   récord histórico consecutivo  empieza  ola  calor    hayalternativa    gobierno  sánchez  ,0,presidencia
3182,   vial bryant   parc   granotes ,6,educacio
3186,   peligro  futuro  planeta    peligro  libertad ,8,accio climatica alimentacio i agenda rural
3193,joan delort    cargo  noventamileurista      alimentó  bulo   hidroaviones vía    ,3,economia i hisenda
3195,     ánimo amigo     abrazo  fuerte,7,recerca i universitats
3197, govern escondió  hidroaviones   incendio    creus  culpaba  españa vía    ,9,salut
3207, lección magistral  derecho   politica democrática   ,0,presidencia
3223, 1       afortunadamente    caso contrario   pelado       opinar  nazismo    vivió       toque  cascabeles  dígame    arte comunista notable     ,4,igualtat i feminismes
3227,   etarras  cumplir íntegramente  condenas        falta   ,13,justicia
3235,     avales   embargados  tribunal  cuentas    dinero    prevariación   casa        ,13,justicia
3238,      bup   cou    modelo  psoe   curso 93 94  mezcla  etapas  puros prejuicios ,6,educacio
3250,  días  empezamos  semana  entrevista              construir  instrumento  torno  pp  derrotar  separatismo   urnas    ,0,presidencia
3255, entrevista               estabilidad política  necesaria   constitución   único   funcionado   aventura    constitución  resolverá  problema     agravará   ,0,presidencia
3274,   permitir   gobierno  mande callar  sentido     silencio cómplice   pp  oposición responsable  alternativa necesaria   exigimos  sánchez comparezca   congreso  controlar  incompetencia  mentiras     líderes serios   ,0,presidencia
3276,       14 15h     atiende   medios  comunicación   visita  centro  alojamiento  inmigrantes   frontera      puedes seguirlo     redes sociales      ,10,interior
3277,enhorabuena   3   medalla  oro  récord mundial   contrarreloj  ciclismo  pista       76   87    colgado  plata  natación      barreras   realidad  sueños    deportistas      teamesp    tokio2020  ,9,salut
3278, reunimos      consejeros  economía  pp  denunciar  plan  nini   propone sánchez   fondos ue    reformas   cogobernanza   ccaa   acuerdo   oposición   agencia  controlarlos   defensa   independencia judicial   ,4,igualtat i feminismes
3280,acabo  hablar   alcalde  peñíscola    interesarme   situación provocada   derrumbe   edificio      apoyo   servicios  emergencia    encontrar   personas atrapadas ,10,interior
3286,apoyamos  declaración  zona catastrófica  incendio  ávila     pedimos   semana    ayudas  llegar pronto   bajadas fiscales  avales ico   modificación   ley  montes    ganaderos puedan acceder   pac   pastos quemados   ,10,interior
3288,       11 30h     atiende   medios  comunicación   visitar  zonas afectadas   incendios  ávila      puedes seguirlo  directo   redes sociales      ,10,interior
3289,visito  juangil   jumilla  plena vendimia  agradecer  esfuerzo  sector vitivinícola   pandemia  mantener 200 000 empleos    marcaespaña      bajar impuestos   flexibilidad laboral  bajar  factura   luz sacando  costes  energéticos  ,8,accio climatica alimentacio i agenda rural
3293,       13 30h     atiende   medios   visita  jumilla acompañado            puedes seguirlo  directo     redes sociales      ,10,interior
3294,    caja  costa    clases medias  trabajadoras  lleguen          reducir  factura   luz sacando  costes  energéticos  recibo  bajando impuestos      ,3,economia i hisenda
3297,apoyamos  sentido    repatriación  afganistán   gratitud   militares    vida   libertad      duras  sánchez  esconde   sale   propaganda   ue  escudo    eeuu excluyéndole  reconocimiento  26 países   labor  ,15,immigracio
3299,pedimos  gobierno  declaración  zona catastrófica   incendio  ávila     cuarto  grave   historia  españa    vecinos  agricultores  ganaderos afectados necesitan ayudas directas  créditos ico  exenciones fiscales  compensaciones   municipios   ,10,interior
3300, gobierno   jaula  grillos incapaz  gestionar   sánchez   vacaciones     comparecer   congreso     países   orden   caos  precio   luz   normas anticovid   crisis migratoria  ceuta   salida  afganistán,0,presidencia
3302, apoyo  solidaridad   vecinos  azuébar  navalacruz  municipios colindantes     desalojar  hogares   terribles incendios     agradecimiento   efectivos  castilla  león   comunidad valenciana    descanso   extinción  ,8,accio climatica alimentacio i agenda rural
3313, finalizar julio      precio   luz  caro   historia  empezamos agosto alcanzando   máximo histórico   prometieron   subiría  precio   energía  prometieron  dejar   atrás   medalla  oro  mentiras   ,0,presidencia
3321,      13 00h     realizará  balance  curso político       intervención  directo     redes  página web     sáncheznocumple  ,10,interior
3331,claro  cuba   dictadura    venido  apoyar   soscuba   7  pedir democracia  libertad   pueblo cubano    patriayvida  ,0,presidencia
3345,are there updates  the arrest in cuba of  cuban spanish citizen  grandmaster arian gonzález   was there visiting his ill mother   spain been silent about the latest crackdown  human rights in cuba     ,15,immigracio
3354,   cumplen 3 años   pablo casado    presidencia         preparados  gobernar     3añosconstruyendo  ,0,presidencia
3360, reúno  sindicatos     asociaciones     presentar  proposición  ley  equiparación salarial  pedir medios  campo  gibraltar  ceuta  melilla   comprometerme  condecorar    defendieron  orden   ley frente  secesionismo   ,10,interior
3370, legislatura   vía muerta   avión  avería   motor  volver  aeropuerto   estrellarse    sánchez  dimitir  convocar elecciones    dejar españa destrozada   dispuestos  achicharrarnos  salvarla     entrevista     ,0,presidencia
3375,    minutos        clausuran  17 congreso      podrás seguirlo      12 30h    directo   redes        uncamiñoporpercorrer  ,10,interior
3381,      09 20h         micrófonos      podrás seguirlo   directo        ,10,interior
3385,  homenaje   víctimas  sanitarios   ley  pandemias  contener  contagios    gobierno fracasa   gestión  abandona   ccaa   5  ola  retiraron  mascarilla  tapar  indultos  declararon  virus vencido    elecciones autonómicas  ,9,salut
3388,    advertí  sánchez   congreso     alarma     excepción encubierto  desbordaba  marco constitucional        negado   año  aprobar  ley  pandemias   aprovechó  covid  amarrar     ,13,justicia
3389,sr  sánchez  repita conmigo  cuba                  ,0,presidencia
3399, jefes  sánchez  erc    cambio  gobierno   importante       exigen autodeterminación  amnistía   volverán  protestas callejeras    perdona  multas     cambie  peones siguen reinando   quieren romper españa   ,0,presidencia
3409,      12 00h     clausura  escuela  verano miguel ángel blanco  ermua      intervendrán      fanjul        síguelo  directo     redes  página web     túnotecallaste  ,10,interior
3417,      12 00h     interviene   jornadas  verano  superar  decadencia  reconstruir cataluña   organizadas        puedes seguir  intervención  directo     redes  página web    ,10,interior
3423,creemos pensiones sostenibles  engaños      pagarlas  impuestos   pensión media     sueldo medio aboca  recortes  babyboomers    quiebra  sistema   jóvenes    analizamos   exministros báñez  aparicio  pimentel  castillo  ,11,drets socials
3427,creemos  derogando  impuestos  sucesiones  donaciones  patrimonio  bajando cotizaciones sociales  tarifa autónomos  fiscalidad  ahorro   debatimos    gobernador  banco  españa caruana    presidente   bolsa pizarro    secretario  legaz  ,2,empresa i treball
3429,  5  ola  covid  gobierno  ofrece cierres ruinosos  subida  cotizaciones   ley  seguridad  expropiar bienes     ley  pandemias   frente   crisis  gestionada  seguimos construyendo  alternativa   sectores productivos afectados  ,9,salut
3430,gracias  luis  guindos  inaugurar  año   curso  verano    bce mantiene  respiración asistida   fondos ue  compensan  boquete económico   creamos   bajando impuestos  burocracia   flexibilidad  competitividad    alternativa    ,2,empresa i treball
3442, irse iglesias queda claro   radical  mentiroso compulsivo  sánchez   juegos  trilero    cree      falso consenso excluye  media españa   negocia    quieren destruirla  delincuentes    golpe    defensores  terroristas  ,0,presidencia
3447,       alcalde  san javier  pide medidas urgentes    cinturón verde   ministra ribera  parará  5 000 kg  nutrientes diarios  entran   mar menor    ,8,accio climatica alimentacio i agenda rural
3449, dónde   izquierda indignada      vacaciones   vergüenza  ,8,accio climatica alimentacio i agenda rural
3450,  mar menor    cc aa    tardado nueve días   acto  presencia  miembro  gobierno  españa  seguro    declarado zona catastrófica            ,8,accio climatica alimentacio i agenda rural
3452,  viviendo  crisis medioambiental    mar menor      afrontar  solucionar   perspectiva              ,8,accio climatica alimentacio i agenda rural
3460,  realidad  canarias   preocupante   gobierno  españa   poniendo  medios humanos  materiales    planteando  solución   inmigración           ,4,igualtat i feminismes
3461,   endirecto       frontera   ,12,cultura
3464,medalla  oro  récord  mundo   3   kilómetro contrarreloj  ciclismo  pista    enhorabuena        tokyo2020  ,9,salut
